Kernel,C,Gamma,C1_mean_f1,C2_mean_f1,C3_mean_f1,C4_mean_f1,C5_mean_f1,C6_mean_f1,C7_mean_f1,C8_mean_f1,C9_mean_f1,overall_mean
rbf,0.01,0.1,0.0,0.0,0.43350997657827167,0.0,0.0,0.0,0.0,0.26617595020793916,0.0,0.07774288075402341
rbf,0.01,0.01,0.024392637717379987,0.5009566663487185,0.9875061414106001,0.0,0.0,0.0,0.0,0.5508772341739617,0.0,0.22930363107229562
rbf,0.01,0.001,0.5095906851273755,0.9101095728353945,0.7237787922278447,0.0,0.0,0.2708435589567665,0.0,0.7364562931651905,0.0,0.3500865447013968
rbf,0.01,0.0001,0.20754139959723966,0.002666666666666667,0.43313364965476914,0.0,0.0,0.0,0.0,0.0,0.0,0.07148241287985284
rbf,0.01,1e-05,0.0,0.0,0.4260740162421303,0.0,0.0,0.0,0.0,0.0,0.0,0.0473415573602367
rbf,0.1,0.1,0.13415340425824782,0.5144653940582748,0.9596006773195824,0.0,0.0,0.17675193481647977,0.715863930136376,0.6391561993100192,0.012956107879428875,0.3503275164198232
rbf,0.1,0.01,0.6560142683331304,0.9672192931407928,0.9928676877877246,0.9275873083149773,0.0,0.809427608469116,0.8743611057779102,0.83523449495253,0.3696297795537249,0.7147046162588785
rbf,0.1,0.001,0.8829500617562249,0.9745457560859718,0.9928774512917572,0.9403583278991627,0.0,0.8308091356170946,0.8800753914921959,0.8085907857939938,0.8664152626388668,0.7974024636194742
rbf,0.1,0.0001,0.6925738937033389,0.9235009202352893,0.7144180851798942,0.0,0.0,0.6074595106335443,0.0,0.7009364486555938,0.5372825462009061,0.46401904495650736
rbf,0.1,1e-05,0.10901863856509612,0.011621496782787104,0.43202105441103217,0.0,0.0,0.0,0.0,0.0,0.0,0.061406798862101715
rbf,1.0,0.1,0.5427071873293124,0.6369714281039107,0.990005577119474,0.7729052263814773,0.0,0.6112383780511098,0.7827439091110464,0.824892253270875,0.46234452327849407,0.6248676091828556
rbf,1.0,0.01,0.7947022664568253,0.9639436598920941,0.9951615101393754,0.9712131123906325,0.11666666666666665,0.9480284428947341,0.9214837834707463,0.9080454872227811,0.8517129579446052,0.8301064318976067
rbf,1.0,0.001,0.9498274166315598,0.9928673077017963,0.9980137231324335,0.9644064696564613,0.3633333333333333,0.965684807903671,0.9489288866767194,0.934708492513536,0.9786056978612624,0.8995973483789749
rbf,1.0,0.0001,0.9675431683938065,0.9846660668466468,0.9925941790084849,0.9376642549173233,0.0,0.8973100306241524,0.8909891478058387,0.8429771771359664,0.9375537313761002,0.8279219729009244
rbf,1.0,1e-05,0.7354459628746051,0.9310642656279204,0.7113161626689521,0.0,0.0,0.6254447788947765,0.0,0.7026164725003872,0.5398169747795303,0.47174495748290796
rbf,100.0,0.1,0.5496526015820623,0.6550255089035032,0.9905689026827996,0.8193331858617989,0.19666666666666668,0.6577561996413974,0.8157346411004947,0.8393047474588343,0.5665715833543853,0.6767348930279936
rbf,100.0,0.01,0.8000202378793967,0.9661007787369652,0.994596565824431,0.9694555404947911,0.19666666666666668,0.9506862502037041,0.9324855532996145,0.9081244161451177,0.855948084772584,0.841564899335919
rbf,100.0,0.001,0.9575034056906804,0.9945738480793725,0.9974583911404817,0.9825685960557843,0.6200000000000001,0.9762455420940503,0.9828705311911999,0.9510773626157235,0.9810298188441632,0.9381474995234951
rbf,100.0,0.0001,0.9728021161696656,0.9969560006848142,0.9985835603114255,0.9774169670496841,0.8566666666666667,0.9799672520502837,0.9834020653589836,0.9558668805171605,0.9851903753701562,0.9674279871309823
rbf,100.0,1e-05,0.9751493714437108,0.9959367149871413,0.9980201800297355,0.9598630071751213,0.7233333333333334,0.9623360884352581,0.9700537814094046,0.9530107896899314,0.9868690691392494,0.9471747039603208
rbf,500.0,0.1,0.5496526015820623,0.6550255089035032,0.9905689026827996,0.8193331858617989,0.19666666666666668,0.6577561996413974,0.8157346411004947,0.8393047474588343,0.5665715833543853,0.6767348930279936
rbf,500.0,0.01,0.8000202378793967,0.9661007787369652,0.994596565824431,0.9694555404947911,0.19666666666666668,0.9506862502037041,0.9324855532996145,0.9081244161451177,0.855948084772584,0.841564899335919
rbf,500.0,0.001,0.9565002916300779,0.9945738480793725,0.9991517376211945,0.984262485952941,0.6200000000000001,0.9773691375996684,0.9871356254496867,0.9505327355228413,0.980255625295776,0.9388646096835066
rbf,500.0,0.0001,0.9739363691318574,0.9969560006848142,0.9980201845381483,0.9826917487651439,0.8566666666666667,0.9790674453375969,0.9789573744391374,0.9563143059458421,0.9860030475464647,0.9676236825617414
rbf,500.0,1e-05,0.9714532866048214,0.9956228650849137,0.9980201800297355,0.9679647060242663,0.8066666666666666,0.9689791582243952,0.9765331320148949,0.9532648917960789,0.9868160611839849,0.9583689941810842
rbf,1000.0,0.1,0.5496526015820623,0.6550255089035032,0.9905689026827996,0.8210175830249196,0.19666666666666668,0.6577561996413974,0.8157346411004947,0.8402317315858184,0.5665715833543853,0.6770250465046719
rbf,1000.0,0.01,0.8000202378793967,0.9661007787369652,0.994596565824431,0.9712725831013074,0.19666666666666668,0.9506862502037041,0.9324855532996145,0.9087836909428402,0.855948084772584,0.8418400457141679
rbf,1000.0,0.001,0.9565002916300779,0.9945738480793725,0.9985835512173142,0.9809301779766881,0.64,0.9762702365007673,0.9850079658752184,0.9483708950812945,0.980255625295776,0.9400547324062788
rbf,1000.0,0.0001,0.9744827219362747,0.9962826077232856,0.9977368938334695,0.9826917487651439,0.8566666666666667,0.9779188810429652,0.980996381531336,0.9564061111101031,0.9860030475464647,0.9676872289061897
rbf,1000.0,1e-05,0.9742084190995873,0.9962894407514895,0.9985835603114255,0.9757804971490411,0.8066666666666666,0.9736639365908004,0.9834020653589836,0.9559864112422425,0.9860033890076764,0.961176042908657
rbf,1500.0,0.1,0.5496526015820623,0.6550255089035032,0.9905689026827996,0.8210175830249196,0.19666666666666668,0.6577561996413974,0.8157346411004947,0.8402317315858184,0.5665715833543853,0.6770250465046719
rbf,1500.0,0.01,0.8000202378793967,0.9661007787369652,0.994596565824431,0.9712725831013074,0.19666666666666668,0.9506862502037041,0.9324855532996145,0.9087836909428402,0.855948084772584,0.8418400457141679
rbf,1500.0,0.001,0.9565002916300779,0.9945738480793725,0.9985835512173142,0.979235262722451,0.64,0.9741005348347462,0.9784399732757736,0.9483708950812945,0.980255625295776,0.9388955535707562
rbf,1500.0,0.0001,0.9744827219362747,0.9962826077232856,0.9977368938334695,0.986140024627213,0.8566666666666667,0.9779188810429652,0.9852744057845155,0.9564726360668029,0.9860030475464647,0.9685530983586287
rbf,1500.0,1e-05,0.9726488600401645,0.9962894407514895,0.9985835603114255,0.9775878360750244,0.8066666666666666,0.9791141957709083,0.9834020653589836,0.9551968258662533,0.9860033890076764,0.9617214266498437
